name,affiliation,homepage,scholarid,turing_award,acm_fellow,region,country,begin_time,end_time
Mai ElSherief,"University of California, San Diego",https://mayelsherif.github.io/melsherif,Rykl2HkAAAAJ,0,0,america,us,2010,2021.0
Maia L. Jacobs,Northwestern University,http://maiajacobs.com,014yACkAAAAJ,0,0,america,us,2015,2023.0
Maike Sonnewald,"University of California, Davis",https://msonnewald.com,kSxRj7gAAAAJ,0,0,america,us,2011,
Maja J. Mataric,University of Southern California,http://robotics.usc.edu/~maja,o5YQMkMAAAAJ,0,0,america,us,2007,2019.0
Majid Sarrafzadeh,"University of California, Los Angeles",http://www.cs.ucla.edu/~majid,LYt_4uIAAAAJ,0,0,america,us,2011,2021.0
Makan Fardad,Syracuse University,https://ecs.syr.edu/faculty/fardad/index.htm,jWb94BoAAAAJ,0,0,america,us,2004,2023.0
Malihe Alikhani,Northeastern University,https://www.malihealikhani.com,w24_ETkAAAAJ,0,0,america,us,2015,
Malte F. Jung,Cornell University,http://infosci.cornell.edu/faculty/malte-jung,pfBh4zEAAAAJ,0,0,america,us,2012,2020.0
Malte Schwarzkopf,Brown University,http://www.malteschwarzkopf.de,Lf1hSacAAAAJ,0,0,america,us,2018,2020.0
Man Kong,University of Kansas,http://www.eecs.ku.edu/people/faculty/kong,XVbgceMAAAAJ,0,0,america,us,2017,2023.0
Man-Ki Yoon,North Carolina State University,https://mankiyoon.github.io,QlGI0qYAAAAJ,0,0,america,us,2016,2023.0
Maneesh Agrawala,Stanford University,http://graphics.stanford.edu/~maneesh,YPzKczYAAAAJ,0,1,america,us,2015,2021.0
Mani B. Srivastava,"University of California, Los Angeles",http://www.ee.ucla.edu/mani-srivastava,X2Qs7XYAAAAJ,0,1,america,us,2002,2019.0
Manish Motwani,Oregon State University,https://mmotwani.com,OCyPkm0AAAAJ,0,0,america,us,2003,2022.0
Manish Parashar,University of Utah,https://www.sci.utah.edu/people/parashar.html,SCM35lMAAAAJ,0,1,america,us,2010,2019.0
Manling Li,Northwestern University,https://limanling.github.io,6U4SXnUAAAAJ,0,0,america,us,2013,2023.0
Manmohan Krishna Chandraker,"University of California, San Diego",http://cseweb.ucsd.edu/~mkchandraker,oPFCNk4AAAAJ,0,0,america,us,2007,2021.0
Manolis Kellis,Massachusetts Institute of Technology,http://mit.edu/manoli,lsYXBx8AAAAJ,0,0,america,us,2007,2019.0
Manolis Zampetakis,Yale University,https://mzampet.com,tBAp1-gAAAAJ,0,0,america,us,2010,2021.0
Manos Antonakakis,Georgia Institute of Technology,https://sites.google.com/site/antonakakis,P6VJcVIAAAAJ,0,0,america,us,2003,2021.0
